Date,Open,High,Low,Close,Adj Close,Volume,,
7/29/2019,40.009487,40.796963,39.222012,39.326378,35.67844,64559186,,
7/30/2019,37.789375,38.178368,36.622391,36.802658,33.388824,95739668,,
7/31/2019,36.622391,37.637569,36.537003,36.850094,33.431862,56309423,,
8/1/2019,36.347248,36.641365,35.749527,36.290321,33.232037,51624920,,
8/2/2019,36.290321,36.565464,35.815941,36.053131,33.014832,29153640,,
8/5/2019,35.825428,35.891842,34.544594,35.066414,32.111267,46030183,,
8/6/2019,35.28463,35.398483,34.601517,35.056927,32.102581,31985843,,
8/7/2019,34.772297,34.895638,34.02277,34.705883,31.781122,32017253,,
8/8/2019,34.819733,35.056927,34.724857,34.981026,32.033081,23356429,,
8/9/2019,34.886147,34.943073,34.25996,34.487667,31.581291,25391703,,
8/12/2019,34.449715,34.459202,32.9981,33.576851,30.747236,44212665,,
8/13/2019,33.614799,33.97533,33.349148,33.396584,30.582157,45549453,,
8/14/2019,33.140415,33.187855,32.447819,32.485767,29.748102,38633421,,
8/15/2019,32.542694,32.80835,32.229603,32.71347,29.956619,30713665,,
8/16/2019,32.941177,33.21632,32.722961,32.874763,30.104317,30012334,,
8/19/2019,33.092979,33.510437,33.04554,33.377609,30.564783,21997296,,
8/20/2019,33.301708,33.358635,32.798862,32.836811,30.069563,19932510,,
8/21/2019,33.149906,33.320683,33.036053,33.083492,30.295456,19208728,,
8/22/2019,33.16888,33.425049,33.017078,33.28273,30.477898,16933142,,
8/23/2019,33.406071,33.538898,32.419353,32.580647,29.834986,27765311,,
8/26/2019,32.846298,33.074005,32.71347,33.055027,30.26939,17468680,,
8/27/2019,33.21632,33.292221,32.552181,32.580647,29.834986,24715351,,
8/28/2019,32.599621,33.349148,32.52372,33.28273,30.477898,26047924,,
8/29/2019,33.956356,33.956356,33.425049,33.519924,30.695107,19610302,,
8/30/2019,33.795067,33.889942,33.472485,33.728653,30.886246,18873346,,
9/3/2019,33.78558,34.421253,33.690701,34.269451,31.38147,26624989,,
9/4/2019,34.440228,34.535103,33.870968,33.994308,31.129513,20649441,,
9/5/2019,34.25996,34.611008,34.051231,34.478176,31.572607,22096794,,
9/6/2019,34.497154,34.696396,34.25996,34.629982,31.71162,20873416,,
9/9/2019,34.71537,34.95256,34.278938,34.943073,31.998325,24675616,,
9/10/2019,34.71537,35.464897,34.174572,35.464897,32.47617,32250397,,
9/11/2019,35.806454,35.825428,35.009487,35.493359,32.502239,16963181,,
9/12/2019,35.645161,35.6926,35.161289,35.370018,32.38929,16692303,,
9/13/2019,35.474384,35.673622,34.734344,35.018974,32.067825,24099605,,
9/16/2019,34.59203,35.123341,34.487667,34.943073,31.998325,19877070,,
9/17/2019,34.905125,34.914612,34.487667,34.629982,31.71162,22091945,,
9/18/2019,34.696396,34.838711,34.402279,34.516129,31.607363,19679550,,
9/19/2019,34.554081,34.886147,34.478176,34.639469,31.720299,17746409,,
9/20/2019,35,35.341557,34.611008,34.810246,31.87669,45990658,,
9/23/2019,34.516129,34.71537,34.373814,34.383301,31.485725,17295191,,
9/24/2019,34.411766,34.705883,34.136623,34.165085,31.2859,24186560,,
9/25/2019,34.07021,34.487667,33.870968,34.060722,31.190334,20269685,,
9/26/2019,34.222012,34.383301,33.747627,33.946869,31.086073,17059728,,
9/27/2019,34.02277,34.478176,33.889942,34.364326,31.468348,17583671,,
9/30/2019,34.421253,34.449715,34.079697,34.089184,31.216396,17205391,,
10/1/2019,34.089184,34.174572,33.614799,33.614799,30.78199,22013001,,
10/2/2019,33.45351,33.462997,32.884251,32.922199,30.147757,22458000,,
10/3/2019,32.93169,33.652752,32.827324,33.633778,30.799364,22076135,,
10/4/2019,33.671726,34.136623,33.633778,34.089184,31.216396,18065349,,
10/7/2019,33.984821,34.402279,33.965843,33.994308,31.129513,11759373,,
10/8/2019,33.823528,34.041744,33.605312,33.614799,30.78199,14761270,,
10/9/2019,33.823528,34.051231,33.709679,33.861481,31.007879,13634333,,
10/10/2019,33.842506,34.165085,33.776093,33.956356,31.094757,12198680,,
10/11/2019,34.288425,34.705883,34.222012,34.25996,31.372774,18446054,,
10/14/2019,34.3074,34.487667,34.136623,34.440228,31.537855,8700981,,
10/15/2019,34.582542,34.857685,34.544594,34.629982,31.71162,15178232,,
10/16/2019,34.753323,34.867172,34.459202,34.478176,31.572607,14435795,,
10/17/2019,34.620495,34.924099,34.506641,34.59203,31.676867,15312090,,
10/18/2019,34.563568,34.819733,34.487667,34.59203,31.676867,14219198,,
10/21/2019,34.772297,34.800758,34.497154,34.59203,31.676867,13237081,,
10/22/2019,34.544594,34.819733,34.392788,34.563568,31.650795,14549416,,
10/23/2019,34.449715,34.895638,34.364326,34.886147,31.946198,14000598,,
10/24/2019,34.867172,34.95256,34.402279,34.525616,31.616043,19998385,,
10/25/2019,34.535103,34.990513,34.449715,34.886147,31.946198,17497665,,
10/28/2019,34.971539,35.559772,34.933586,35.370018,32.38929,25800339,,
10/29/2019,36.053131,36.774193,35.97723,36.252373,33.197289,32212032,,
10/30/2019,36.442123,36.83112,36.337761,36.508537,33.431858,22019430,,
10/31/2019,36.423149,36.603416,36.223907,36.404175,33.336296,24539860,,
11/1/2019,36.707779,36.944973,36.423149,36.423149,33.353668,19263220,,
11/4/2019,36.726753,36.755219,36.081593,36.081593,33.040894,17709730,,
11/5/2019,36.081593,36.148006,35.550285,35.559772,32.563049,21688474,,
11/6/2019,35.683113,35.796963,35.436432,35.683113,32.675999,18757722,,
11/7/2019,35.483871,35.654648,34.990513,35.018974,32.377743,22727297,,
11/8/2019,34.990513,35.256168,34.943073,35.151802,32.500557,26626886,,
11/11/2019,35.018974,35.113853,34.867172,35.037952,32.395294,12542916,,
11/12/2019,34.943073,35.189754,34.819733,35.075901,32.430378,13338370,,
11/13/2019,35.056927,35.056927,34.440228,34.724857,32.105812,25855252,,
11/14/2019,34.686909,34.876659,34.459202,34.677418,32.061947,25190600,,
11/15/2019,34.753323,35.550285,34.648956,35.370018,32.702309,36378810,,
11/18/2019,35.474384,35.521824,35.066414,35.313091,32.649685,18084532,,
11/19/2019,35.512333,35.749527,35.40797,35.730549,33.035648,26475110,,
11/20/2019,35.645161,35.759014,35.113853,35.151802,32.500557,19947582,,
11/21/2019,35.303604,35.996204,35.142315,35.806454,33.105827,20942664,,
11/22/2019,35.853889,36.442123,35.759014,36.366222,33.623379,25544006,,
11/25/2019,36.508537,36.888046,36.480076,36.698292,33.930408,31592385,,
11/26/2019,36.565464,36.612904,36.100571,36.328274,33.588295,34620633,,
11/27/2019,36.413662,36.726753,36.366222,36.650852,33.886543,19201034,,
11/29/2019,36.565464,36.888046,36.537003,36.54649,33.790051,9793873,,
12/2/2019,36.802658,36.812145,36.290321,36.328274,33.588295,15645998,,
12/3/2019,36.015179,36.242886,35.901329,36.100571,33.377766,20869832,,
12/4/2019,36.271347,36.299809,35.948769,36.185959,33.456711,14501248,,
12/5/2019,36.404175,36.404175,35.853889,36.081593,33.360218,13098058,,
12/6/2019,36.318787,36.54649,36.26186,36.328274,33.588295,12868708,,
12/9/2019,36.148006,36.413662,36.148006,36.356735,33.614613,15641571,,
12/10/2019,36.309299,36.603416,36.233398,36.508537,33.754955,19171311,,
12/11/2019,36.404175,36.593929,36.242886,36.26186,33.52689,15569372,,
12/12/2019,36.21442,36.641365,36.21442,36.565464,33.807594,13414469,,
12/13/2019,36.54649,36.698292,36.119545,36.366222,33.623379,16678496,,
12/16/2019,36.71727,37.381405,36.679317,37.134724,34.33392,24187824,,
12/17/2019,37.419353,37.419353,36.850094,36.907021,34.123394,29038016,,
12/18/2019,37.011387,37.077801,36.660343,36.897533,34.114613,27339390,,
12/19/2019,37.0019,37.144215,36.821632,36.973434,34.184799,22022276,,
12/20/2019,37.333965,37.514233,36.973434,37.220116,34.412868,58199772,,
12/23/2019,37.400379,37.495255,37.125237,37.305504,34.491821,17454345,,
12/24/2019,37.314991,37.419353,37.19165,37.277039,34.465496,5187683,,
12/26/2019,37.28653,37.542694,37.19165,37.362431,34.544453,9384078,,
12/27/2019,37.409866,37.590134,37.23909,37.305504,34.491821,10117662,,
12/30/2019,37.28653,37.400379,36.897533,36.916508,34.13216,11554264,,
12/31/2019,36.802658,37.19165,36.726753,37.172676,34.369011,15175703,,
1/2/2020,37.28653,37.333965,36.888046,37.134724,34.33392,16514072,,
1/3/2020,36.736244,37.229603,36.688805,36.935486,34.149704,14922848,,
1/6/2020,36.83112,37.0019,36.71727,36.888046,34.105846,15771951,,
1/7/2020,37.115749,37.125237,36.698292,36.764706,33.99181,20108107,,
1/8/2020,36.774193,37.210625,36.764706,37.058823,34.263744,16403507,,
1/9/2020,37.258064,37.258064,36.802658,36.897533,34.114613,21971895,,
1/10/2020,36.982922,37.599621,36.973434,37.466793,34.640942,21557357,,
1/13/2020,37.590134,37.732449,37.201138,37.390892,34.570766,15392405,,
1/14/2020,37.409866,38.026566,37.28653,38.017078,35.149727,20919160,,
1/15/2020,38.130932,38.776093,38.111954,38.586338,35.676048,23925800,,
1/16/2020,38.700191,38.709679,38.254269,38.529411,35.623413,16216422,,
1/17/2020,38.491463,38.719166,38.349148,38.434536,35.535698,23083970,,
1/21/2020,38.311195,38.576851,38.130932,38.273247,35.386566,23115696,,
1/22/2020,38.254269,38.339657,37.922199,38.130932,35.25499,18097812,,
1/23/2020,38.130932,38.73814,38.074005,38.624287,35.711136,27148510,,
