Date,Open,High,Low,Close,Adj Close,Volume,
7/27/2021,663.400024,666.5,627.23999,644.780029,644.780029,32813300,
7/28/2021,647,654.969971,639.400024,646.97998,646.97998,16006600,
7/29/2021,649.789978,683.690002,648.799988,677.349976,677.349976,30394600,
7/30/2021,671.76001,697.530029,669,687.200012,687.200012,29600500,
8/2/2021,700,726.940002,698.400024,709.669983,709.669983,33615800,
8/3/2021,719,722.650024,701.01001,709.73999,709.73999,21620300,
8/4/2021,711,724.900024,708.929993,710.919983,710.919983,17002600,
8/5/2021,716,720.950012,711.409973,714.630005,714.630005,12919600,
8/6/2021,711.900024,716.330017,697.630005,699.099976,699.099976,15576200,
8/9/2021,710.169983,719.030029,705.130005,713.76001,713.76001,14715300,
8/10/2021,713.98999,716.590027,701.880005,709.98999,709.98999,13432300,
8/11/2021,712.710022,715.179993,704.210022,707.820007,707.820007,9800600,
8/12/2021,706.340027,722.799988,699.400024,722.25,722.25,17459100,
8/13/2021,723.710022,729.900024,714.340027,717.169983,717.169983,16698900,
8/16/2021,705.070007,709.5,676.400024,686.169983,686.169983,22677400,
8/17/2021,672.659973,674.580017,648.840027,665.710022,665.710022,23721300,
8/18/2021,669.75,695.77002,669.349976,688.98999,688.98999,20349400,
8/19/2021,678.210022,686.549988,667.590027,673.469971,673.469971,14313500,
8/20/2021,682.849976,692.130005,673.700012,680.26001,680.26001,14781800,
8/23/2021,685.440002,712.130005,680.75,706.299988,706.299988,20264900,
8/24/2021,710.679993,715.219971,702.640015,708.48999,708.48999,13083100,
8/25/2021,707.030029,716.969971,704,711.200012,711.200012,12645600,
8/26/2021,708.309998,715.400024,697.619995,701.159973,701.159973,13214300,
8/27/2021,705,715,702.099976,711.919983,711.919983,13762100,
8/30/2021,714.719971,731,712.72998,730.909973,730.909973,18604200,
8/31/2021,733,740.390015,726.440002,735.719971,735.719971,20855400,
9/1/2021,734.080017,741.98999,731.27002,734.090027,734.090027,13204300,
9/2/2021,734.5,740.969971,730.539978,732.390015,732.390015,12777300,
9/3/2021,732.25,734,724.200012,733.570007,733.570007,15246100,
9/7/2021,740,760.200012,739.26001,752.919983,752.919983,20039800,
9/8/2021,761.580017,764.450012,740.77002,753.869995,753.869995,18793000,
9/9/2021,753.409973,762.099976,751.630005,754.859985,754.859985,14077700,
9/10/2021,759.599976,762.609985,734.52002,736.27002,736.27002,15114300,
9/13/2021,740.210022,744.780029,708.849976,743,743,22952500,
9/14/2021,742.570007,754.469971,736.400024,744.48999,744.48999,18524900,
9/15/2021,745,756.859985,738.359985,755.830017,755.830017,15357700,
9/16/2021,752.830017,758.909973,747.609985,756.98999,756.98999,13923400,
9/17/2021,757.150024,761.039978,750,759.48999,759.48999,28204200,
9/20/2021,734.559998,742,718.619995,730.169983,730.169983,24757700,
9/21/2021,734.789978,744.73999,730.440002,739.380005,739.380005,16330700,
9/22/2021,743.530029,753.669983,739.119995,751.940002,751.940002,15126300,
9/23/2021,755,758.200012,747.919983,753.640015,753.640015,11947500,
9/24/2021,745.890015,774.799988,744.559998,774.390015,774.390015,21373000,
9/27/2021,773.119995,799,769.309998,791.359985,791.359985,28070700,
9/28/2021,787.200012,795.640015,766.179993,777.559998,777.559998,25381400,
9/29/2021,779.799988,793.5,770.679993,781.309998,781.309998,20942900,
9/30/2021,781,789.130005,775,775.47998,775.47998,17956000,
10/1/2021,778.400024,780.780029,763.590027,775.219971,775.219971,17031400,
10/4/2021,796.5,806.969971,776.119995,781.530029,781.530029,30483300,
10/5/2021,784.799988,797.309998,774.200012,780.590027,780.590027,18432600,
10/6/2021,776.200012,786.659973,773.219971,782.75,782.75,14632800,
10/7/2021,785.460022,805,783.380005,793.609985,793.609985,19195800,
10/8/2021,796.210022,796.380005,780.909973,785.48999,785.48999,16711100,
10/11/2021,787.650024,801.23999,785.5,791.940002,791.940002,14200300,
10/12/2021,800.929993,812.320007,796.570007,805.719971,805.719971,22020000,
10/13/2021,810.469971,815.409973,805.780029,811.080017,811.080017,14120100,
10/14/2021,815.48999,820.25,813.349976,818.320007,818.320007,12247200,
10/15/2021,823.73999,843.210022,822.349976,843.030029,843.030029,18818000,
10/18/2021,851.789978,875.26001,851.469971,870.109985,870.109985,24207200,
10/19/2021,877.530029,877.950012,862.51001,864.27002,864.27002,17381100,
10/20/2021,865.349976,869.48999,857.380005,865.799988,865.799988,14032100,0.2%
10/21/2021,856,900,855.5,894,894,31481500,3.3%
10/22/2021,895.5,910,890.960022,909.679993,909.679993,22880800,1.8%
10/25/2021,950.530029,1045.02002,944.200012,1024.859985,1024.859985,62852100,
10/26/2021,1024.689941,1094.939941,1001.440002,1018.429993,1018.429993,62415000,
10/27/2021,1039.660034,1070.880005,1030.780029,1037.859985,1037.859985,38526500,
10/28/2021,1068.310059,1081,1054.199951,1077.040039,1077.040039,27213200,
10/29/2021,1081.859985,1115.209961,1073.209961,1114,1114,29918400,
11/1/2021,1145,1209.75,1118.660034,1208.589966,1208.589966,56048700,
11/2/2021,1159.359985,1208.589966,1146,1172,1172,42737800,
11/3/2021,1177.329956,1215.390015,1152.619995,1213.859985,1213.859985,34628500,
11/4/2021,1234.410034,1243.48999,1217,1229.910034,1229.910034,25397400,
11/5/2021,1228,1239.869995,1208,1222.089966,1222.089966,21579900,
11/8/2021,1149.790039,1197,1133,1162.939941,1162.939941,33445700,-4.8%
11/9/2021,1173.599976,1174.5,1011.52002,1023.5,1023.5,59105800,
11/10/2021,1010.409973,1078.099976,987.309998,1067.949951,1067.949951,42802700,
11/11/2021,1102.77002,1104.969971,1054.680054,1063.51001,1063.51001,22396600,
11/12/2021,1047.5,1054.5,1019.200012,1033.420044,1033.420044,25182300,
11/15/2021,1017.630005,1031.97998,978.599976,1013.390015,1013.390015,34775600,-2%
11/16/2021,1003.309998,1057.199951,1002.179993,1054.72998,1054.72998,26542400,4%
11/17/2021,1063.51001,1119.640015,1055.5,1089.01001,1089.01001,31445400,3%
11/18/2021,1106.550049,1112,1075.02002,1096.380005,1096.380005,20898900,1%
11/19/2021,1098.869995,1138.719971,1092.699951,1137.060059,1137.060059,21642300,4%
11/22/2021,1162.329956,1201.949951,1132.430054,1156.869995,1156.869995,33072500,2%
11/23/2021,1167.51001,1180.5,1062.699951,1109.030029,1109.030029,36171700,-4%
11/24/2021,1080.390015,1132.77002,1062,1116,1116,22560200,1%
11/26/2021,1099.469971,1108.780029,1081,1081.920044,1081.920044,11680900,-3%
11/29/2021,1100.98999,1142.670044,1100.189941,1136.98999,1136.98999,19464500,5%
11/30/2021,1144.369995,1168,1118,1144.76001,1144.76001,27092000,1%
12/1/2021,1160.699951,1172.839966,1090.76001,1095,1095,22816800,-4%
